date,scenario,forecast_energy_kWh,relevant_error_quantile_kWh,critical_fractile_q_star,raw_commitment_kWh,committed_energy_kWh,commitment_as_pct_forecast,actual_energy_kWh_ex_post,shortfall_kWh_ex_post,surplus_kWh_ex_post,imbalance_cost_KSh,illustrative_energy_revenue_KSh,net_economic_outcome_KSh,capacity_cap_used
2025-03-04,Balanced,272.99521999999996,12.226911475000001,0.5,285.22213147499997,285.22213147499997,104.47880057203933,296.1045818333333,0.0,10.882450358333358,108.82450358333358,4278.331972124999,4169.507468541666,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-04,Aggressive,272.99521999999996,27.118969416666687,0.75,300.11418941666665,300.11418941666665,109.93386236457425,296.1045818333333,4.00960758333332,0.0,20.0480379166666,4501.71284125,4481.664803333333,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-05,Conservative,263.38372,-1.8047970125000141,0.25,261.5789229875,261.5789229875,99.31476515993472,294.51229700000005,0.0,32.93337401250005,164.66687006250027,3923.6838448125,3759.0169747499995,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-05,Balanced,263.38372,12.226911475000001,0.5,275.610631475,275.610631475,104.64224268493132,294.51229700000005,0.0,18.901665525000055,189.01665525000055,4134.159472125,3945.142816875,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-05,Aggressive,263.38372,27.118969416666687,0.75,290.50268941666667,290.50268941666667,110.29637269025841,294.51229700000005,0.0,4.009607583333377,60.144113750000656,4357.54034125,4297.396227499999,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-06,Conservative,280.75175,-1.8047970125000141,0.25,278.9469529875,278.9469529875,99.35715556091816,288.50098241666666,0.0,9.554029429166633,47.770147145833164,4184.2042948125,4136.434147666667,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-06,Balanced,280.75175,12.226911475000001,0.5,292.978661475,292.978661475,104.35506153568053,288.50098241666666,4.477679058333365,0.0,44.77679058333365,4394.679922125,4349.903131541667,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-06,Aggressive,280.75175,27.118969416666687,0.75,307.8707194166667,307.8707194166667,109.65941242277802,288.50098241666666,19.369737000000043,0.0,96.84868500000022,4618.060791250001,4521.212106250001,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-07,Conservative,262.09142,-1.8047970125000141,0.25,260.28662298750004,260.28662298750004,99.31138645725221,274.31833147500004,0.0,14.031708487499998,70.15854243749999,3904.2993448125007,3834.140802375001,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-07,Balanced,262.09142,12.226911475000001,0.5,274.31833147500004,274.31833147500004,104.6651322942964,274.31833147500004,0.0,0.0,0.0,4114.774972125,4114.774972125,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
2025-03-07,Aggressive,262.09142,27.118969416666687,0.75,289.2103894166667,289.2103894166667,110.34714124432868,274.31833147500004,14.892057941666678,0.0,74.46028970833339,4338.155841250001,4263.695551541668,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
